arm,nfe,complex,n,basis,q0.25@1.0,q0.5@1.0,q1.0@1.0,q0.25@2.0,q0.5@2.0,q1.0@2.0
Separate,5,1JD0_AZM,200,True,True,True,True,True,True,True
Separate,5,1JJE_BYS,200,True,True,True,True,True,True,True
Separate,5,1JLA_TNK,200,True,True,True,True,True,True,True
Separate,5,1K3U_IAD,200,True,False,False,False,True,True,True
Separate,5,1KE5_LS1,200,True,True,True,True,True,True,True
Separate,5,1KZK_JE2,200,True,True,True,True,True,True,True
Separate,5,1L2S_STC,200,True,True,True,True,True,True,False
Separate,5,1L7F_BCZ,200,True,True,True,True,True,True,True
Separate,5,1LPZ_CMB,200,True,False,False,False,True,True,True
Separate,5,1LRH_NLA,200,True,True,True,True,True,True,True
Separate,5,1M2Z_DEX,200,True,True,True,True,True,True,True
Separate,5,1MEH_MOA,200,False,False,False,False,False,False,False
Separate,5,1MMV_3AR,200,True,False,False,False,True,True,True
Separate,5,1MZC_BNE,200,False,False,False,False,False,False,False
Separate,5,1N1M_A3M,200,True,True,True,True,True,False,False
Separate,5,1N2J_PAF,200,True,True,True,True,True,True,True
Separate,5,1N2V_BDI,200,True,True,True,True,True,True,True
Separate,5,1N46_PFA,200,True,True,True,True,True,True,True
Separate,5,1NAV_IH5,200,True,True,True,True,True,True,True
Separate,5,1OF1_SCT,200,True,True,True,True,True,True,True
Separate,5,1OF6_DTY,200,True,True,True,True,True,True,True
Separate,5,1OPK_P16,200,True,True,True,True,True,True,True
Separate,5,1OQ5_CEL,200,False,False,False,False,False,True,True
Separate,5,1OWE_675,200,True,True,True,True,True,True,True
Separate,5,1OYT_FSN,200,True,True,True,True,True,True,True
Separate,5,1P2Y_NCT,200,True,False,True,True,True,True,False
Separate,5,1P62_GEO,200,True,True,True,True,True,True,True
Separate,5,1PMN_984,200,True,True,True,True,True,True,True
Separate,5,1Q1G_MTI,200,True,True,True,True,True,True,True
Separate,5,1Q41_IXM,200,True,True,True,True,True,True,True
Separate,5,1Q4G_BFL,200,True,False,True,False,True,True,True
Separate,5,1R1H_BIR,200,True,True,True,True,True,True,True
Separate,5,1R55_097,200,True,True,True,True,False,True,True
Separate,5,1R58_AO5,200,True,True,True,True,True,True,True
Separate,5,1R9O_FLP,200,True,True,True,True,True,True,True
Separate,5,1S19_MC9,200,True,True,True,True,True,True,True
Separate,5,1S3V_TQD,200,True,True,True,False,True,False,True
Separate,5,1SG0_STL,200,True,True,True,True,False,False,False
Separate,5,1SJ0_E4D,200,True,True,True,True,True,True,True
Separate,5,1SQ5_PAU,200,False,False,False,False,False,False,False
Separate,5,1SQN_NDR,200,True,True,True,True,True,True,True
Separate,5,1T40_ID5,200,True,False,False,False,False,False,False
Separate,5,1T46_STI,200,True,True,True,True,True,True,True
Separate,5,1T9B_1CS,200,False,False,True,True,True,True,True
Separate,5,1TOW_CRZ,200,True,True,True,True,True,True,True
Separate,5,1TT1_KAI,200,True,True,True,True,True,True,True
Separate,5,1TZ8_DES,200,False,False,False,False,True,False,False
Separate,5,1U1C_BAU,200,True,True,True,True,True,True,True
Separate,5,1U4D_DBQ,200,True,True,True,True,True,True,True
Separate,5,1UML_FR4,200,True,True,True,True,True,True,True
Separate,5,1UNL_RRC,200,True,True,True,True,True,True,True
Separate,5,1UOU_CMU,200,True,True,True,True,True,True,True
Separate,5,1V0P_PVB,200,True,True,True,True,True,True,True
Separate,5,1V48_HA1,200,True,True,True,True,True,True,True
Separate,5,1V4S_MRK,200,True,True,True,True,True,True,True
Separate,5,1VCJ_IBA,200,True,True,True,True,True,True,True
Separate,5,1W1P_GIO,200,True,True,True,True,True,True,True
Separate,5,1W2G_THM,200,True,True,True,True,True,True,True
Separate,5,1X8X_TYR,200,True,True,True,True,True,True,True
Separate,5,1XM6_5RM,200,True,True,True,True,True,True,True
Separate,5,1XOQ_ROF,200,True,True,True,True,True,True,True
Separate,5,1XOZ_CIA,200,True,True,True,True,True,True,True
