arm,nfe,K,gruppe,n_komplexe,ziel,regel,anteil_prozent
SigmaDock,5,40,frag=4,20,RMSD<2 & PB,Orakel,0.0
SigmaDock,5,40,frag=5,11,RMSD<2 & PB,Orakel,0.0
SigmaDock,5,40,frag=6,12,RMSD<2 & PB,Orakel,0.0
SigmaDock,5,40,frag=7,8,RMSD<2 & PB,Orakel,0.0
SigmaDock,5,40,frag=8,2,RMSD<2 & PB,Orakel,0.0
Minimal,25,40,alle,85,RMSD<2,je Zug,60.62
Minimal,25,40,frag=1,6,RMSD<2,je Zug,57.5
Minimal,25,40,frag=2,9,RMSD<2,je Zug,58.33
Minimal,25,40,frag=3,17,RMSD<2,je Zug,69.41
Minimal,25,40,frag=4,20,RMSD<2,je Zug,61.38
Minimal,25,40,frag=5,11,RMSD<2,je Zug,57.5
Minimal,25,40,frag=6,12,RMSD<2,je Zug,60.62
Minimal,25,40,frag=7,8,RMSD<2,je Zug,60.0
Minimal,25,40,frag=8,2,RMSD<2,je Zug,17.5
Minimal,25,40,alle,85,RMSD<2,nur gnina,84.71
Minimal,25,40,frag=1,6,RMSD<2,nur gnina,50.0
Minimal,25,40,frag=2,9,RMSD<2,nur gnina,88.89
Minimal,25,40,frag=3,17,RMSD<2,nur gnina,94.12
Minimal,25,40,frag=4,20,RMSD<2,nur gnina,90.0
Minimal,25,40,frag=5,11,RMSD<2,nur gnina,90.91
Minimal,25,40,frag=6,12,RMSD<2,nur gnina,66.67
Minimal,25,40,frag=7,8,RMSD<2,nur gnina,100.0
Minimal,25,40,frag=8,2,RMSD<2,nur gnina,50.0
Minimal,25,40,alle,85,RMSD<2,Mixed Score (Paper),85.88
Minimal,25,40,frag=1,6,RMSD<2,Mixed Score (Paper),50.0
Minimal,25,40,frag=2,9,RMSD<2,Mixed Score (Paper),88.89
Minimal,25,40,frag=3,17,RMSD<2,Mixed Score (Paper),94.12
Minimal,25,40,frag=4,20,RMSD<2,Mixed Score (Paper),90.0
Minimal,25,40,frag=5,11,RMSD<2,Mixed Score (Paper),81.82
Minimal,25,40,frag=6,12,RMSD<2,Mixed Score (Paper),83.33
Minimal,25,40,frag=7,8,RMSD<2,Mixed Score (Paper),100.0
Minimal,25,40,frag=8,2,RMSD<2,Mixed Score (Paper),50.0
Minimal,25,40,alle,85,RMSD<2,PB-Filter -> gnina,84.71
Minimal,25,40,frag=1,6,RMSD<2,PB-Filter -> gnina,50.0
Minimal,25,40,frag=2,9,RMSD<2,PB-Filter -> gnina,88.89
Minimal,25,40,frag=3,17,RMSD<2,PB-Filter -> gnina,94.12
Minimal,25,40,frag=4,20,RMSD<2,PB-Filter -> gnina,90.0
Minimal,25,40,frag=5,11,RMSD<2,PB-Filter -> gnina,81.82
Minimal,25,40,frag=6,12,RMSD<2,PB-Filter -> gnina,83.33
Minimal,25,40,frag=7,8,RMSD<2,PB-Filter -> gnina,87.5
Minimal,25,40,frag=8,2,RMSD<2,PB-Filter -> gnina,50.0
Minimal,25,40,alle,85,RMSD<2,Orakel,98.82
Minimal,25,40,frag=1,6,RMSD<2,Orakel,100.0
Minimal,25,40,frag=2,9,RMSD<2,Orakel,100.0
Minimal,25,40,frag=3,17,RMSD<2,Orakel,100.0
Minimal,25,40,frag=4,20,RMSD<2,Orakel,100.0
Minimal,25,40,frag=5,11,RMSD<2,Orakel,90.91
Minimal,25,40,frag=6,12,RMSD<2,Orakel,100.0
Minimal,25,40,frag=7,8,RMSD<2,Orakel,100.0
Minimal,25,40,frag=8,2,RMSD<2,Orakel,100.0
Minimal,25,40,alle,85,PB-valide,je Zug,37.91
Minimal,25,40,frag=1,6,PB-valide,je Zug,56.67
Minimal,25,40,frag=2,9,PB-valide,je Zug,53.33
Minimal,25,40,frag=3,17,PB-valide,je Zug,44.56
Minimal,25,40,frag=4,20,PB-valide,je Zug,39.62
Minimal,25,40,frag=5,11,PB-valide,je Zug,34.32
Minimal,25,40,frag=6,12,PB-valide,je Zug,26.04
Minimal,25,40,frag=7,8,PB-valide,je Zug,16.25
Minimal,25,40,frag=8,2,PB-valide,je Zug,16.25
Minimal,25,40,alle,85,PB-valide,nur gnina,65.88
Minimal,25,40,frag=1,6,PB-valide,nur gnina,83.33
Minimal,25,40,frag=2,9,PB-valide,nur gnina,100.0
Minimal,25,40,frag=3,17,PB-valide,nur gnina,82.35
Minimal,25,40,frag=4,20,PB-valide,nur gnina,60.0
Minimal,25,40,frag=5,11,PB-valide,nur gnina,54.55
Minimal,25,40,frag=6,12,PB-valide,nur gnina,41.67
Minimal,25,40,frag=7,8,PB-valide,nur gnina,37.5
Minimal,25,40,frag=8,2,PB-valide,nur gnina,100.0
Minimal,25,40,alle,85,PB-valide,Mixed Score (Paper),94.12
Minimal,25,40,frag=1,6,PB-valide,Mixed Score (Paper),100.0
Minimal,25,40,frag=2,9,PB-valide,Mixed Score (Paper),100.0
Minimal,25,40,frag=3,17,PB-valide,Mixed Score (Paper),100.0
Minimal,25,40,frag=4,20,PB-valide,Mixed Score (Paper),85.0
Minimal,25,40,frag=5,11,PB-valide,Mixed Score (Paper),90.91
Minimal,25,40,frag=6,12,PB-valide,Mixed Score (Paper),100.0
Minimal,25,40,frag=7,8,PB-valide,Mixed Score (Paper),87.5
Minimal,25,40,frag=8,2,PB-valide,Mixed Score (Paper),100.0
Minimal,25,40,alle,85,PB-valide,PB-Filter -> gnina,96.47
Minimal,25,40,frag=1,6,PB-valide,PB-Filter -> gnina,100.0
Minimal,25,40,frag=2,9,PB-valide,PB-Filter -> gnina,100.0
Minimal,25,40,frag=3,17,PB-valide,PB-Filter -> gnina,100.0
Minimal,25,40,frag=4,20,PB-valide,PB-Filter -> gnina,90.0
