satz,arm,nfe,K,ziel,regel,mean,count,prozent
AX85,SigmaFlow-Separate,5,181,both,gnina,0.5118823529411765,85,51.188235294117646
AX85,SigmaFlow-Separate,5,182,both,gnina,0.5116152941176473,85,51.161529411764725
AX85,SigmaFlow-Separate,5,183,both,gnina,0.5114023529411765,85,51.14023529411765
AX85,SigmaFlow-Separate,5,184,both,gnina,0.5110764705882351,85,51.10764705882352
AX85,SigmaFlow-Separate,5,185,both,gnina,0.5107976470588236,85,51.079764705882354
AX85,SigmaFlow-Separate,5,186,both,gnina,0.5104882352941179,85,51.04882352941179
AX85,SigmaFlow-Separate,5,187,both,gnina,0.510210588235294,85,51.021058823529394
AX85,SigmaFlow-Separate,5,188,both,gnina,0.5099164705882353,85,50.99164705882353
AX85,SigmaFlow-Separate,5,189,both,gnina,0.5096694117647061,85,50.96694117647061
AX85,SigmaFlow-Separate,5,190,both,gnina,0.5092729411764706,85,50.92729411764706
AX85,SigmaFlow-Separate,5,191,both,gnina,0.5089729411764704,85,50.89729411764704
AX85,SigmaFlow-Separate,5,192,both,gnina,0.5086423529411765,85,50.864235294117655
AX85,SigmaFlow-Separate,5,193,both,gnina,0.5083223529411767,85,50.832235294117666
AX85,SigmaFlow-Separate,5,194,both,gnina,0.5079964705882354,85,50.79964705882354
AX85,SigmaFlow-Separate,5,195,both,gnina,0.5076694117647058,85,50.76694117647058
AX85,SigmaFlow-Separate,5,196,both,gnina,0.5073294117647058,85,50.73294117647058
AX85,SigmaFlow-Separate,5,197,both,gnina,0.5069564705882351,85,50.69564705882351
AX85,SigmaFlow-Separate,5,198,both,gnina,0.5066188235294116,85,50.661882352941156
AX85,SigmaFlow-Separate,5,199,both,gnina,0.5062670588235295,85,50.62670588235295
AX85,SigmaFlow-Separate,5,200,both,gnina,0.5058823529411764,85,50.588235294117645
AX85,SigmaFlow-Separate,5,1,acc,filter,0.6411199999999997,85,64.11199999999997
AX85,SigmaFlow-Separate,5,2,acc,filter,0.7205035294117649,85,72.05035294117648
AX85,SigmaFlow-Separate,5,3,acc,filter,0.7564223529411769,85,75.64223529411768
AX85,SigmaFlow-Separate,5,4,acc,filter,0.7768223529411761,85,77.6822352941176
