complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
7R3D_APR,6,Minimal,25,40,0.15,8,0.4,False,0.4584,0.225,0.527,1.038
7R3D_APR,6,Minimal,5,200,0.16,16,0.42,False,0.3139,0.34,0.521,0.925
7R3D_APR,6,Separate,25,40,0.375,8,0.3,False,0.4667,0.25,0.407,0.952
7R3D_APR,6,Separate,5,201,0.19900497512437812,18,0.4129,False,0.3655,0.1194,0.437,0.916
7ROR_69X,6,SigmaDock,25,40,0.875,2,0.925,True,0.0722,0.925,0.317,0.716
7ROR_69X,6,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,11.347
7ROR_69X,6,Minimal,25,40,0.775,5,0.525,True,0.324,0.525,0.346,0.893
7ROR_69X,6,Minimal,5,200,0.82,8,0.625,True,0.1668,0.625,0.391,0.666
7ROR_69X,6,Separate,25,40,0.75,6,0.525,True,0.3069,0.525,0.249,0.546
7ROR_69X,6,Separate,5,200,0.78,9,0.84,True,0.1297,0.84,0.236,0.472
7RSV_7IQ,2,SigmaDock,25,40,0.925,3,0.925,True,0.0852,0.925,0.254,0.634
7RSV_7IQ,2,SigmaDock,5,40,0.325,26,0.325,True,0.7517,0.325,0.338,18.927
7RSV_7IQ,2,Minimal,25,40,0.8,3,0.8,True,0.1561,0.8,0.305,0.46
7RSV_7IQ,2,Minimal,5,200,0.79,7,0.785,True,0.1551,0.785,0.298,0.586
7RSV_7IQ,2,Separate,25,40,0.85,6,0.85,True,0.1781,0.85,0.296,0.564
7RSV_7IQ,2,Separate,5,202,0.801980198019802,13,0.8069,True,0.162,0.8069,0.256,0.572
7RZL_NPO,2,SigmaDock,25,40,0.025,3,0.9,False,0.1069,0.05,0.877,0.695
7RZL_NPO,2,SigmaDock,5,40,0.0,32,0.175,False,0.8853,,,22.463
7RZL_NPO,2,Minimal,25,40,0.0,4,0.4,False,0.3224,,,1.122
7RZL_NPO,2,Minimal,5,200,0.015,9,0.295,False,0.2838,0.01,0.514,1.052
7RZL_NPO,2,Separate,25,40,0.075,6,0.25,False,0.4503,0.225,0.859,1.078
7RZL_NPO,2,Separate,5,201,0.029850746268656716,7,0.3284,False,0.287,0.0448,0.685,1.082
7SDD_4IP,5,SigmaDock,25,40,0.05,35,0.05,False,0.953,0.05,1.008,1.543
7SDD_4IP,5,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,10.981
7SDD_4IP,5,Minimal,25,40,0.125,34,0.075,True,0.9401,0.075,0.907,1.049
7SDD_4IP,5,Minimal,5,202,0.06435643564356436,143,0.0396,True,0.9088,0.0396,0.74,1.116
